t [s],Nodestring name [-],Mean wse [m],Discharge [m3/s],Wetted area [m2],Mean bottom elevation [m],Reference elevation [m],Wetted geometric length [m],Total water volume stored in cells [m3]
2400.0,BC_valle,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,365.88568115234375,0.0,0.0
2400.0,link_borgo_monte,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,381.3037109375,0.0,0.0
2400.0,link_borgo_valle,380.8500486941014,0.0,1.07304987626968,380.64148218448184,380.5992126464844,5.1448810176998006,2.0649017646282366
3600.0,BC_brenta_1,436.28736349387833,1.4999999999999998,1.6422128143752799,435.30853271484375,435.30853271484375,1.6777290309515922,1.6421194746064243
3600.0,BC_brenta_2,424.81185965771886,0.5,0.5310841029653396,424.1551208496094,424.1551208496094,0.8086686768125422,0.26342903184926275
3600.0,BC_brenta_vecchio_1,403.1213654583924,1.5,0.9631819026390476,402.81927490234375,402.81927490234375,3.1883879960939217,1.9257695463517683
3600.0,BC_brenta_vecchio_2,389.6900575906302,0.9999999999999999,2.091038557862879,389.213933362032,389.1159973144531,4.3917919573620114,1.3394124328594996
3600.0,BC_brenta_vecchio_3,386.1209077846355,0.49999999999999994,0.19974868470670024,385.99560546875,385.99560546875,1.5941340213473738,0.1986220374338436
3600.0,BC_caldonazzo,448.1233378257168,1.0,19.001381133626918,446.4002623213165,446.2763977050781,11.027596344502863,28.747483589215463
3600.0,BC_centa,443.38860121081893,3.999999999999999,5.196975855872367,443.1876640319937,442.60003662109375,25.863684790706607,6.667267210654768
3600.0,BC_levico,440.66662886233166,1.0,2.781392619998404,440.2900557133215,440.2107238769531,7.38606198373229,4.270099623525125
3600.0,BC_valle,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,365.88568115234375,0.0,0.0
3600.0,link_borgo_monte,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,381.3037109375,0.0,0.0
3600.0,link_borgo_valle,380.9760335228295,0.0,1.72122683011104,380.64148218448184,380.5992126464844,5.1448810176998006,3.298769570059351
4800.0,BC_brenta_1,436.2871218252809,1.4999999999999998,1.6418073599536054,435.30853271484375,435.30853271484375,1.6777290309515922,1.6417140432298885
4800.0,BC_brenta_2,424.8120070372862,0.5,0.5312032842050592,424.1551208496094,424.1551208496094,0.8086686768125422,0.263488148283776
4800.0,BC_brenta_vecchio_1,403.1213613333748,1.5,0.963168750482277,402.81927490234375,402.81927490234375,3.1883879960939217,1.9257432501527758
4800.0,BC_brenta_vecchio_2,389.6899545011508,0.9999999999999999,2.0905858103165045,389.213933362032,389.1159973144531,4.3917919573620114,1.339144547024693
4800.0,BC_brenta_vecchio_3,386.1209080262389,0.49999999999999994,0.19974906985490332,385.99560546875,385.99560546875,1.5941340213473738,0.19862242040968606
